ColonyID,Colour,Day,InNestFrames,TotalFrames,Treatment,InfectionLoad,InfectionStatus,AssignmentRate,OutNestFrames,OutNestRatio
C_3,BB,5,113085,118830,C,0,uninfected,0.825208333333333,5745,0.0483463771774804
C_3,BG,5,117624,119366,C,0,uninfected,0.828930555555556,1742,0.0145937704203877
C_3,BR,5,103275,122867,C,0,uninfected,0.853243055555556,19592,0.159456973800939
C_3,GG,5,114006,114424,C,0,uninfected,0.794611111111111,418,0.0036530797734741
C_3,GR,5,104267,117641,C,0,uninfected,0.816951388888889,13374,0.113684854770021
C_3,RB,5,112358,112789,C,0,uninfected,0.783256944444444,431,0.00382129462979546
C_3,RG,5,111144,114488,C,0,uninfected,0.795055555555556,3344,0.0292083013066872
C_3,RR,5,111850,116772,C,0,uninfected,0.810916666666667,4922,0.042150515534546
C_3,BB,6,100086,105313,C,0,uninfected,0.731340277777778,5227,0.04963299877508
C_3,BG,6,92685,93909,C,0,uninfected,0.652145833333333,1224,0.0130338945149027
C_3,BR,6,95545,98018,C,0,uninfected,0.680680555555556,2473,0.0252300597849375
C_3,GG,6,96918,98193,C,0,uninfected,0.681895833333333,1275,0.0129846323057652
C_3,GR,6,108701,112884,C,0,uninfected,0.783916666666667,4183,0.0370557386343503
C_3,RB,6,105079,106174,C,0,uninfected,0.737319444444444,1095,0.0103132593666999
C_3,RG,6,71170,73963,C,0,uninfected,0.513631944444444,2793,0.0377621243053959
C_3,RR,6,85871,97528,C,0,uninfected,0.677277777777778,11657,0.119524649331474
C_4,BB,1,119994,123680,C,0,uninfected,0.858888888888889,3686,0.0298027166882277
C_4,BG,1,110113,125426,C,0,uninfected,0.871013888888889,15313,0.122087924353802
C_4,BR,1,117673,120021,C,0,uninfected,0.833479166666667,2348,0.0195632430991243
C_4,GG,1,121652,124167,C,0,uninfected,0.862270833333333,2515,0.0202549791812639
C_4,GR,1,81094,128265,C,0,uninfected,0.890729166666667,47171,0.367762055120259
C_4,RB,1,121917,123186,C,0,uninfected,0.855458333333333,1269,0.0103014952997906
C_4,RG,1,51817,131965,C,0,uninfected,0.916423611111111,80148,0.607342856060319
C_4,RR,1,122852,124066,C,0,uninfected,0.861569444444444,1214,0.00978511437460706
C_4,BB,2,115233,120893,C,0,uninfected,0.839534722222222,5660,0.0468182607760582
C_4,BG,2,83918,111340,C,0,uninfected,0.773194444444444,27422,0.246290641278965
C_4,BR,2,109572,127261,C,0,uninfected,0.883756944444444,17689,0.138997807655134
C_4,GG,2,121975,127250,C,0,uninfected,0.883680555555556,5275,0.0414538310412574
C_4,GR,2,83712,113485,C,0,uninfected,0.788090277777778,29773,0.262351852667753
C_4,RB,2,125010,125578,C,0,uninfected,0.872069444444444,568,0.00452308525378649
C_4,RG,2,85403,111929,C,0,uninfected,0.777284722222222,26526,0.236989520142233
C_4,RR,2,116644,119930,C,0,uninfected,0.832847222222222,3286,0.0273993162678229
C_4,BB,3,85194,117530,C,0,uninfected,0.816180555555556,32336,0.275129754105335
C_4,BG,3,104628,134514,C,0,uninfected,0.934125,29886,0.222177617199697
C_4,BR,3,86809,134741,C,0,uninfected,0.935701388888889,47932,0.355734334760763
C_4,GG,3,104036,114616,C,0,uninfected,0.795944444444444,10580,0.0923082292175613
C_4,GR,3,77956,132707,C,0,uninfected,0.921576388888889,54751,0.412570550159374
C_4,RB,3,108111,123739,C,0,uninfected,0.859298611111111,15628,0.126298095184218
C_4,RG,3,66896,135427,C,0,uninfected,0.940465277777778,68531,0.506036462448404
C_4,RR,3,103583,122941,C,0,uninfected,0.853756944444444,19358,0.157457642283697
C_4,BB,4,86087,131450,C,0,uninfected,0.912847222222222,45363,0.345096995055154
C_4,BG,4,83744,130673,C,0,uninfected,0.907451388888889,46929,0.359133103242445
C_4,BR,4,101104,129452,C,0,uninfected,0.898972222222222,28348,0.218984642956463
C_4,GG,4,77912,133271,C,0,uninfected,0.925493055555556,55359,0.415386693279108
C_4,GR,4,81749,133160,C,0,uninfected,0.924722222222222,51411,0.386084409732652
C_4,RB,4,117311,130845,C,0,uninfected,0.908645833333333,13534,0.103435362451756
C_4,RG,4,96738,130006,C,0,uninfected,0.902819444444444,33268,0.255895881728536
C_4,RR,4,57457,134316,C,0,uninfected,0.93275,76859,0.572225200273981
C_4,BB,5,102830,107420,C,0,uninfected,0.745972222222222,4590,0.0427294730962577
C_4,BG,5,112717,128871,C,0,uninfected,0.8949375,16154,0.125350156357908
C_4,BR,5,109371,117526,C,0,uninfected,0.816152777777778,8155,0.0693889011793135
C_4,GG,5,112267,117073,C,0,uninfected,0.813006944444444,4806,0.0410513098664936
C_4,GR,5,103942,125803,C,0,uninfected,0.873631944444444,21861,0.173771690659205
C_4,RB,5,117259,118283,C,0,uninfected,0.821409722222222,1024,0.00865720348655344
C_4,RG,5,102812,120359,C,0,uninfected,0.835826388888889,17547,0.145788848361984
C_4,RR,5,119030,124087,C,0,uninfected,0.861715277777778,5057,0.0407536647674615
C_4,BB,6,105750,112152,C,0,uninfected,0.778833333333333,6402,0.0570832441686283
C_4,BG,6,106872,118856,C,0,uninfected,0.825388888888889,11984,0.10082789257589
C_4,BR,6,92966,119331,C,0,uninfected,0.8286875,26365,0.220940074247262
C_4,GG,6,104812,117083,C,0,uninfected,0.813076388888889,12271,0.104805992330227
C_4,GR,6,100913,124343,C,0,uninfected,0.863493055555556,23430,0.188430390130526
C_4,RB,6,99854,109138,C,0,uninfected,0.757902777777778,9284,0.0850666129120929
C_4,RG,6,105307,120766,C,0,uninfected,0.838652777777778,15459,0.128007883013431
C_4,RR,6,99307,106920,C,0,uninfected,0.7425,7613,0.0712027684249907
C_5,BB,1,82504,131168,C,0,uninfected,0.910888888888889,48664,0.371005123200781
C_5,BG,1,107480,137547,C,0,uninfected,0.9551875,30067,0.218594371378511
C_5,BR,1,110111,110294,C,0,uninfected,0.765930555555556,183,0.00165920176981522
