ColonyID,Colour,Day,AssignmentRate,MeanSpeed,MedianSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
C_7,GR,1,0.979746527777778,1.87730435099233,1.42440176663917,475240,371261,846501,0.438583061331292,uninfected,0,C
C_7,RB,1,0.975208333333333,1.37443548751832,0.910851200736792,457068,385512,842580,0.457537563198747,uninfected,0,C
C_7,RG,1,0.985261574074074,1.67165055852616,1.20367544820255,672056,179210,851266,0.21052174056053,uninfected,0,C
C_7,RR,1,0.675488425925926,0.221066691940447,0.0351744348017105,454525,129097,583622,0.221199680615193,uninfected,0,C
C_8,BB,1,0.999103009259259,1.25668306498395,0.356594976117906,781639,81586,863225,0.0945130180428046,uninfected,0,C
C_8,BG,1,0.991949074074074,1.95737442602404,1.76871012097572,527540,329504,857044,0.384465675041188,uninfected,0,C
C_8,BR,1,0.998149305555556,0.975126868365643,0.221729106444959,818951,43450,862401,0.0503825946398485,uninfected,0,C
C_8,GG,1,0.995116898148148,1.50468035675179,0.842467050206506,792510,67271,859781,0.078242017443977,uninfected,0,C
C_8,GR,1,0.993372685185185,2.13215186670663,2.04897478091798,763066,95208,858274,0.11092960989148,uninfected,0,C
C_8,RB,1,0.995356481481481,1.73647710783082,1.4263906145296,760443,99545,859988,0.115751615138816,uninfected,0,C
C_8,RG,1,0.992613425925926,1.32735620114537,0.656631185499667,795538,62080,857618,0.0723865403944414,uninfected,0,C
C_8,RR,1,0.995974537037037,1.66213256935141,1.2733668074033,668097,192425,860522,0.22361427133763,uninfected,0,C
C_9,BB,1,0.99866087962963,2.03978807881026,1.90844923459694,807394,55449,862843,0.0642631394123844,uninfected,0,C
C_9,BG,1,0.989934027777778,1.94786538170184,1.8353422038517,803005,52298,855303,0.0611455823257957,uninfected,0,C
C_9,BR,1,0.982518518518519,1.17211787560136,0.676794070173031,831500,17396,848896,0.0204924984921592,uninfected,0,C
C_9,GG,1,0.989137731481481,1.25479810953541,0.815705246705119,836991,17624,854615,0.0206221514951177,uninfected,0,C
C_9,GR,1,0.998457175925926,1.29589694356531,0.826536924118779,840591,22076,862667,0.0255904074225628,uninfected,0,C
C_9,RB,1,0.992219907407407,1.05663521215107,0.66795404131466,839768,17510,857278,0.0204251129738545,uninfected,0,C
C_9,RG,1,0.986068287037037,1.89602026982276,1.83270613035188,789689,62274,851963,0.0730947235971515,uninfected,0,C
C_9,RR,1,0.998793981481481,1.53223415886946,1.37088287633831,858347,4611,862958,0.00534324961353855,uninfected,0,C
T_1,BB,1,0.982018518518519,1.75451506704832,1.3691125341995,840868,7596,848464,0.00895264855079296,infected,5,T
T_1,BG,1,0.98294212962963,2.5945943517681,2.70523218642034,706981,142281,849262,0.167534871453097,infected,12,T
T_1,BR,1,0.98087037037037,2.40673115066835,2.45849532304353,762455,85017,847472,0.100318358600638,infected,10,T
T_1,GG,1,0.978076388888889,1.81167290542437,1.51143543848725,824653,20405,845058,0.0241462716168594,infected,3,T
T_1,GR,1,0.981454861111111,2.46368749404696,2.41383866032006,820727,27250,847977,0.0321353055566366,infected,15,T
T_1,RB,1,0.986951388888889,1.92889659612182,1.78073661261591,835003,17723,852726,0.020783932939772,infected,8,T
T_1,RG,1,0.990873842592593,2.6061502650999,2.67027955544825,788075,68040,856115,0.0794753041355425,infected,5,T
T_1,RR,1,0.930141203703704,0.505027662190807,0.057074462540728,598767,204875,803642,0.254933166758333,infected,NaN,T
