Colour,ColonyID,Treatment,AssignmentRate,InNestFrame,TotalFrame,InNestRatio,OutNestFrame,OutNestRatio,InfectionStatus,InfectionLoad,ColonyTreatmentAntInfectionStatus
BR,X_2,X,0.937606481481482,795411,810092,0.981877367015104,14681,0.0181226329848956,uninfected,0,X_uninfected
GG,X_2,X,0.955101851851852,815959,825208,0.988791916704637,9249,0.0112080832953632,infected,5,X_infected
GR,X_2,X,0.953049768518519,816709,823435,0.99183177785739,6726,0.00816822214260993,uninfected,0,X_uninfected
RB,X_2,X,0.946789351851852,806955,818026,0.98646620034082,11071,0.0135337996591796,uninfected,0,X_uninfected
RG,X_2,X,0.999988425925926,467439,863990,0.541023622958599,396551,0.458976377041401,infected,4,X_infected
RR,X_2,X,0.948157407407407,815792,819208,0.995830118846496,3416,0.00416988115350436,infected,NaN,X_infected
BB,X_3,X,0.87928587962963,623067,759703,0.820145504229942,136636,0.179854495770058,uninfected,0,X_uninfected
BG,X_3,X,0.888357638888889,753501,767541,0.98170781756284,14040,0.0182921824371597,infected,6,X_infected
BR,X_3,X,0.895462962962963,729320,773680,0.942663633543584,44360,0.057336366456416,infected,12,X_infected
GG,X_3,X,0.88812037037037,753243,767336,0.981633860525246,14093,0.0183661394747542,uninfected,0,X_uninfected
GR,X_3,X,0.876148148148148,749231,756992,0.989747579895164,7761,0.010252420104836,infected,7,X_infected
RB,X_3,X,0.855765046296296,731204,739381,0.98894074908606,8177,0.0110592509139402,infected,5,X_infected
RG,X_3,X,0.871387731481482,744278,752879,0.988575853490402,8601,0.0114241465095984,uninfected,0,X_uninfected
RR,X_3,X,0.87571875,750137,756621,0.991430319803442,6484,0.00856968019655813,uninfected,0,X_uninfected
BB,X_4,X,0.866443287037037,727727,748607,0.972108195622002,20880,0.0278918043779981,uninfected,NaN,X_uninfected
BG,X_4,X,0.906770833333333,613954,783450,0.783654349352224,169496,0.216345650647776,infected,5,X_infected
BR,X_4,X,0.853744212962963,716298,737635,0.971073769547269,21337,0.0289262304527307,infected,4,X_infected
GG,X_4,X,0.822938657407407,644449,711019,0.906373809982574,66570,0.0936261900174257,uninfected,0,X_uninfected
GR,X_4,X,0.849706018518519,629116,734146,0.856935813857189,105030,0.143064186142811,infected,12,X_infected
RB,X_4,X,0.842795138888889,694878,728175,0.954273354619425,33297,0.0457266453805747,infected,8,X_infected
RG,X_4,X,0.842679398148148,668765,728075,0.918538612093534,59310,0.0814613879064657,uninfected,0,X_uninfected
RR,X_4,X,0.844372685185185,632745,729538,0.86732288105623,96793,0.13267711894377,uninfected,0,X_uninfected
BB,X_5,X,0.787890046296296,658989,680737,0.96805227275732,21748,0.0319477272426796,infected,10,X_infected
BG,X_5,X,0.787930555555556,645079,680772,0.947569817795091,35693,0.0524301822049086,uninfected,0,X_uninfected
BR,X_5,X,0.769184027777778,653867,664575,0.983887446864537,10708,0.0161125531354626,uninfected,0,X_uninfected
GG,X_5,X,0.78428125,651103,677619,0.960868865837587,26516,0.0391311341624128,infected,4,X_infected
